# http://www.census.gov/hhes/www/income/data/Fam_Inc_SizeofFam1.xls,,,
FamilySize,State,MedianIncome,SampErr
4,Nevada,69475,2054
5,Nevada,63032,2520
6,Nevada,65582,5652
7,Nevada,73365,5390
2,NewHampshire,64642,1062
3,NewHampshire,82963,1905
4,NewHampshire,94838,2107
5,NewHampshire,91634,5308
6,NewHampshire,96690,8096
7,NewHampshire,96458,15121
2,NewJersey,70238,739
3,NewJersey,86481,1005
4,NewJersey,103852,885
5,NewJersey,104375,1323
6,NewJersey,100757,2972
7,NewJersey,88699,4447
2,NewMexico,51928,938
3,NewMexico,52214,1743
4,NewMexico,57353,2361
5,NewMexico,52746,2697
6,NewMexico,54478,2840
7,NewMexico,53479,4634
2,NewYork,58342,425
3,NewYork,69062,672
4,NewYork,83648,762
5,NewYork,81680,1157
6,NewYork,76355,2076
7,NewYork,78000,2333
2,NorthCarolina,51088,367
3,NorthCarolina,56123,768
4,NorthCarolina,66985,912
5,NorthCarolina,59961,1408
6,NorthCarolina,54518,2593
7,NorthCarolina,50294,2198
2,NorthDakota,60051,1081
3,NorthDakota,70157,2309
4,NorthDakota,82605,2512
5,NorthDakota,77122,3232
6,NorthDakota,72110,6881
7,NorthDakota,69529,8963
2,Ohio,52276,328
3,Ohio,60873,622
4,Ohio,73924,774
5,Ohio,69833,1402
6,Ohio,65663,1838
7,Ohio,57485,2517
2,Oklahoma,50660,528
3,Oklahoma,54660,902
4,Oklahoma,63580,1068
5,Oklahoma,58640,1519
6,Oklahoma,54573,2616
7,Oklahoma,55687,4849
2,Oregon,55095,556
3,Oregon,60819,1192
4,Oregon,69573,1835
5,Oregon,64889,1694
6,Oregon,61022,3169
7,Oregon,62781,3817
2,Pennsylvania,54816,306
3,Pennsylvania,68937,656
4,Pennsylvania,80937,754
5,Pennsylvania,78833,1122
6,Pennsylvania,71723,1810
7,Pennsylvania,67821,2606
2,RhodeIsland,60466,1505
3,RhodeIsland,72900,2333
4,RhodeIsland,87793,2903
5,RhodeIsland,83357,6142
6,RhodeIsland,70076,10407
7,RhodeIsland,74297,6994
2,SouthCarolina,50331,494
3,SouthCarolina,52822,1263
4,SouthCarolina,62965,1195
5,SouthCarolina,58084,2062
6,SouthCarolina,55620,3633
7,SouthCarolina,50205,4710
2,SouthDakota,56542,1165
3,SouthDakota,63140,1817
4,SouthDakota,71207,2032
5,SouthDakota,72043,3527
6,SouthDakota,67008,5610
7,SouthDakota,53621,5527
2,Tennessee,48361,528
3,Tennessee,54063,743
4,Tennessee,64042,1041
5,Tennessee,61223,1550
6,Tennessee,55091,2783
7,Tennessee,52431,4463
2,Texas,55895,375
3,Texas,59556,563
4,Texas,66880,704
5,Texas,59583,819
6,Texas,54120,1312
7,Texas,54547,1111
2,Utah,56588,701
3,Utah,62252,1128
4,Utah,68017,1420
5,Utah,72324,1439
6,Utah,74930,2516
7,Utah,79043,2296
2,Vermont,58920,1458
3,Vermont,68563,1771
4,Vermont,81408,3059
5,Vermont,71344,4718
6,Vermont,73802,5412
7,Vermont,68509,7819
2,Virginia,65589,619
3,Virginia,75414,852
4,Virginia,90109,1045
5,Virginia,85214,1687
6,Virginia,85388,2630
7,Virginia,89761,3463
2,Washington,64250,552
3,Washington,72119,1038
4,Washington,83238,1049
5,Washington,72534,1683
6,Washington,66591,4075
7,Washington,65957,4283
2,WestVirginia,44435,764
3,WestVirginia,53684,1575
4,WestVirginia,63863,1768
5,WestVirginia,59291,3269
6,WestVirginia,60966,4432
7,WestVirginia,58067,7053
2,Wisconsin,57414,424
3,Wisconsin,66644,690
4,Wisconsin,79141,733
5,Wisconsin,75649,1358
6,Wisconsin,69173,2516
7,Wisconsin,59928,2338
2,Wyoming,63391,1582
3,Wyoming,71387,2931
4,Wyoming,76868,2594
5,Wyoming,71534,5021
6,Wyoming,73110,5485
7,Wyoming,75258,8732
2,PuertoRico,18860,240
3,PuertoRico,23128,473
4,PuertoRico,28174,797
5,PuertoRico,28191,1193
6,PuertoRico,27076,1857
7,PuertoRico,24139,3465
