"male","height","weight"
0,65.2,356.8
0,62,164.9
1,71,187.2
1,69.4,169.6
1,69.8,178.8
1,66.6,202.2
1,71,158.9
1,74.7,186.1
0,63.6,169.7
1,69.8,147.6
0,58.9,110.6
0,67.9,146.8
0,65.2,146.2
1,70.6,164.8
0,59.8,115.7
1,71.2,191.5
1,71.5,198.6
0,63.7,143.7
1,65.1,126.7
0,64.8,123.1
0,66.8,231.5
0,64.5,134.7
1,68.6,159.4
0,65.4,141.5
1,66.5,144.5
1,68.8,150.5
1,70.4,173.7
0,57,215.5
0,60.6,146.4
0,62.8,133.6
1,73.3,240.2
1,73.2,216.6
0,61.9,89
0,66.4,213.6
1,69.9,211.3
1,60.8,140.4
0,65.9,135.7
0,61.8,151.7
0,66.5,198.3
1,64,158.7
1,68.2,218
1,71.8,172.7
1,70.4,161.9
0,63,130.3
0,60.1,123
1,66.3,157
0,67.1,131.2
0,61.5,108.7
1,66.4,202.7
1,63.8,131.9
1,69.9,164.5
1,66.1,179.2
1,66.2,154.4
0,66.5,120.1
1,70.2,189.7
0,64,160.2
1,69,145.7
0,65.7,186.2
1,69.5,144.8
0,64.1,147.4
0,61.2,120.8
0,62.6,134.9
1,67.9,164.8
1,68.5,205.9
1,69.2,172.5
0,65.9,130.8
1,68.3,146.5
1,70.2,173.8
